Date,Open,High,Low,Close,Adj Close,Volume
2019-01-31,267.510009765625,270.4700012207031,267.2699890136719,269.92999267578125,248.75839233398438,104012100
2019-02-01,270.1499938964844,271.20001220703125,269.17999267578125,270.05999755859375,248.878173828125,85782500
2019-02-04,270.1099853515625,272.0299987792969,269.3599853515625,271.9599914550781,250.62921142578125,60744800
2019-02-05,272.44000244140625,273.44000244140625,271.8800048828125,273.1000061035156,251.67971801757812,79552800
2019-02-06,272.7900085449219,273.3399963378906,271.9200134277344,272.739990234375,251.34800720214844,58347800
2019-02-07,270.94000244140625,271.54998779296875,268.2900085449219,270.1400146484375,248.951904296875,95482000
2019-02-08,268.75,270.5799865722656,267.8299865722656,270.4700012207031,249.25599670410156,75788900
2019-02-11,271.20001220703125,271.489990234375,270.0299987792969,270.6199951171875,249.3942413330078,68021400
2019-02-12,272.4200134277344,274.5199890136719,272.3399963378906,274.1000061035156,252.60137939453125,72270200
2019-02-13,275.0299987792969,275.92999267578125,274.55999755859375,274.989990234375,253.42149353027344,65277200
2019-02-14,273.7799987792969,275.6400146484375,272.8699951171875,274.3800048828125,252.85934448242188,83234400
2019-02-15,276.3599853515625,277.4100036621094,276.1300048828125,277.3699951171875,255.61480712890625,97088700
2019-02-19,276.4800109863281,278.5799865722656,276.4700012207031,277.8500061035156,256.05718994140625,59120800
2019-02-20,277.80999755859375,278.9200134277344,277.25,278.4100036621094,256.57330322265625,76610800
2019-02-21,277.70001220703125,278.1000061035156,276.3500061035156,277.4200134277344,255.6609344482422,64214700
2019-02-22,278.1099853515625,279.3599853515625,277.3999938964844,279.1400146484375,257.2460632324219,78114600
2019-02-25,280.7300109863281,281.30999755859375,279.42999267578125,279.5199890136719,257.59625244140625,69030700
2019-02-26,279.1300048828125,280.29998779296875,278.8999938964844,279.32000732421875,257.411865234375,56844100
2019-02-27,278.5199890136719,279.5899963378906,277.4800109863281,279.20001220703125,257.30126953125,56921600
2019-02-28,278.9599914550781,279.45001220703125,278.32000732421875,278.67999267578125,256.8221130371094,69268300
2019-03-01,280.44000244140625,280.8800048828125,278.82000732421875,280.4200134277344,258.4256286621094,78880500
2019-03-04,281.6000061035156,281.8699951171875,276.8399963378906,279.3999938964844,257.4856262207031,106494600
2019-03-05,279.5400085449219,279.760009765625,278.4100036621094,279.0199890136719,257.1353759765625,59114600
2019-03-06,279.1499938964844,279.1600036621094,276.9700012207031,277.3299865722656,255.57798767089844,75039800
2019-03-07,276.8299865722656,276.989990234375,274.07000732421875,275.010009765625,253.44000244140625,94885100
2019-03-08,272.94000244140625,274.6499938964844,272.4200134277344,274.4599914550781,252.93307495117188,85795800
2019-03-11,275.260009765625,278.6199951171875,275.2300109863281,278.44000244140625,256.6008605957031,65098900
2019-03-12,279.05999755859375,280.07000732421875,278.8500061035156,279.489990234375,257.5685119628906,79667500
2019-03-13,280.4800109863281,282.3800048828125,280.29998779296875,281.3399963378906,259.2735290527344,80639200
